Energy,Cluster Size,Trimers,Tetramers,Pentamers,Hexamers,Avg Shortest Path Length,Wiener Index,rmsd,Graph Similarity,Projected Similarity
-15.9416428,3.0,1,0,0,0,1.0,3.0,0.0,0.0,0.0
-27.6242619,4.0,0,1,0,0,1.3333333333333333,8.0,0.0,0.0,0.0
-36.8050499,5.0,0,0,1,0,1.5,15.0,0.0,0.0,0.0
-36.8034706,5.0,0,0,1,0,1.5,15.0,1.998366,0.0,0.0
-36.8031731,5.0,0,0,1,0,1.5,15.0,1.846359,1e-06,0.0
-46.5315552,6.0,0,5,0,0,1.5333333333333334,23.0,0.0,0.0,0.0
-46.5096512,6.0,0,5,0,0,1.5333333333333334,23.0,1.737022,8.4e-05,0.0
-46.1083717,6.0,1,2,1,0,1.4666666666666666,22.0,2.585366,0.228841,3.33705
-46.0908012,6.0,0,2,0,0,1.6666666666666667,25.0,2.728578,3.868659,1.507577
-46.0658035,6.0,0,2,0,0,1.6666666666666667,25.0,2.698724,3.87035,1.507577
-46.0059509,6.0,0,2,0,0,1.6666666666666667,25.0,2.496828,3.857482,1.507577
-45.9915009,6.0,1,2,1,0,1.4666666666666666,22.0,2.586172,0.22521,3.33705
-45.9105644,6.0,2,3,0,0,1.4,21.0,2.49684,3.696155,4.630683
-45.7945213,6.0,0,1,2,0,1.5333333333333334,23.0,2.283882,3.712118,3.717143
-45.7182083,6.0,0,1,2,0,1.5333333333333334,23.0,2.455321,3.730635,3.717143
-45.6464653,6.0,1,2,1,0,1.4666666666666666,22.0,2.443674,0.247359,3.33705
-45.6437302,6.0,0,5,0,0,1.5333333333333334,23.0,1.877602,0.198679,0.0
-45.5965805,6.0,1,2,1,0,1.4666666666666666,22.0,1.588123,0.262282,3.33705
-45.575676,6.0,1,2,1,0,1.4666666666666666,22.0,2.374505,0.293722,3.33705
-45.5610428,6.0,0,1,2,0,1.5333333333333334,23.0,2.606798,3.349774,3.717143
-45.5437164,6.0,0,1,2,0,1.5333333333333334,23.0,2.751472,3.519603,3.717143
-46.5315552,6.0,0,5,0,0,1.5333333333333334,23.0,0.0,0.0,0.0
-46.5096512,6.0,0,5,0,0,1.5333333333333334,23.0,1.737022,8.4e-05,0.0
-46.1083717,6.0,1,2,1,0,1.4666666666666666,22.0,2.585366,0.228841,3.33705
-46.0908012,6.0,0,2,0,0,1.6666666666666667,25.0,2.728578,3.868659,1.507577
-46.0658035,6.0,0,2,0,0,1.6666666666666667,25.0,2.698724,3.87035,1.507577
-46.0059509,6.0,0,2,0,0,1.6666666666666667,25.0,2.496828,3.857482,1.507577
-45.9915009,6.0,1,2,1,0,1.4666666666666666,22.0,2.586172,0.22521,3.33705
-45.9105644,6.0,2,3,0,0,1.4,21.0,2.49684,3.696155,4.630683
-45.7945213,6.0,0,1,2,0,1.5333333333333334,23.0,2.283882,3.712118,3.717143
-45.7182083,6.0,0,1,2,0,1.5333333333333334,23.0,2.455321,3.730635,3.717143
-45.6464653,6.0,1,2,1,0,1.4666666666666666,22.0,2.443674,0.247359,3.33705
-45.6437302,6.0,0,5,0,0,1.5333333333333334,23.0,1.877602,0.198679,0.0
-45.5965805,6.0,1,2,1,0,1.4666666666666666,22.0,1.588123,0.262282,3.33705
-45.575676,6.0,1,2,1,0,1.4666666666666666,22.0,2.374505,0.293722,3.33705
-45.5610428,6.0,0,1,2,0,1.5333333333333334,23.0,2.606798,3.349774,3.717143
-45.5437164,6.0,0,1,2,0,1.5333333333333334,23.0,2.751472,3.519603,3.717143
-57.8319664,7.0,1,3,2,0,1.5714285714285714,33.0,0.0,0.0,0.0
-57.5936966,7.0,1,3,2,0,1.5714285714285714,33.0,1.024453,0.370917,0.0
-57.5424919,7.0,0,2,3,0,1.619047619047619,34.0,0.552554,3.363881,1.116247
-57.4698372,7.0,1,3,2,0,1.5714285714285714,33.0,1.276803,0.389121,0.0
-57.3673439,7.0,1,3,2,0,1.5714285714285714,33.0,2.304459,0.393443,0.0
-57.1903267,7.0,0,7,0,0,1.619047619047619,34.0,2.659381,0.363752,1.482104
-57.1900558,7.0,0,7,0,0,1.619047619047619,34.0,2.223971,0.36364,1.482104
-57.1900482,7.0,0,7,0,0,1.619047619047619,34.0,2.571886,0.363648,1.482104
-57.1859131,7.0,0,7,0,0,1.619047619047619,34.0,1.296446,0.25626,1.482104
-57.1370087,7.0,0,7,0,0,1.619047619047619,34.0,2.913845,0.360661,1.482104
-57.0709991,7.0,1,3,2,0,1.5714285714285714,33.0,2.63181,0.151575,0.0
-57.0433693,7.0,0,2,3,0,1.619047619047619,34.0,1.280495,3.245506,1.116247
-57.0332336,7.0,1,3,2,0,1.5714285714285714,33.0,2.332528,0.255382,0.0
-56.9344711,7.0,1,3,2,0,1.5714285714285714,33.0,1.862206,0.020429,0.0
-56.8899803,7.0,1,3,2,0,1.5714285714285714,33.0,2.242405,0.014685,0.0
-73.3260498,8.0,0,6,0,4,1.7142857142857142,48.0,0.0,0.0,0.0
-73.2936554,8.0,0,6,0,4,1.7142857142857142,48.0,2.724059,0.002715,0.0
-83.4160843,9.0,0,4,2,3,1.8055555555555556,65.0,0.0,0.0,0.0
-83.0525055,9.0,0,4,2,3,1.8055555555555556,65.0,3.161484,0.001611,0.0
-82.7648315,9.0,0,4,2,3,1.8055555555555556,65.0,2.946779,0.005761,0.0
-82.7599945,9.0,0,4,2,3,1.8055555555555556,65.0,2.829718,0.005287,0.0
-82.7597809,9.0,0,4,2,3,1.8055555555555556,65.0,2.984263,0.005175,0.0
-94.6706543,10.0,0,5,2,0,1.8888888888888888,85.0,0.0,0.0,0.0
-94.6555023,10.0,0,5,2,0,1.8888888888888888,85.0,2.924913,0.000504,0.0
-93.9319229,10.0,0,5,2,0,1.8888888888888888,85.0,2.461694,0.003678,0.0
-93.8214798,10.0,0,5,2,0,1.8888888888888888,85.0,2.590186,0.001479,0.0
-93.7692947,10.0,0,5,2,0,1.8888888888888888,85.0,2.626436,0.003282,0.0
-104.813835,11.0,0,6,4,3,1.9454545454545455,107.0,0.0,0.0,0.0
-104.809586,11.0,0,6,4,3,1.9454545454545455,107.0,2.766509,0.038909,0.0
-120.145905,12.0,0,11,0,8,2.0606060606060606,136.0,0.0,0.0,0.0
-120.088501,12.0,0,11,0,8,2.0606060606060606,136.0,3.593411,0.000535,0.0
-120.025482,12.0,0,11,0,8,2.0606060606060606,136.0,3.548909,0.000126,0.0
-130.535187,13.0,0,9,2,7,2.141025641025641,167.0,0.0,0.0,0.0
-130.475296,13.0,0,9,2,7,2.141025641025641,167.0,3.904427,0.000284,0.0
-130.348526,13.0,0,9,2,7,2.141025641025641,167.0,4.273121,0.000377,0.0
-130.281265,13.0,0,9,2,7,2.141025641025641,167.0,3.756805,0.00017,0.0
-130.258255,13.0,0,8,3,6,2.1025641025641026,164.0,3.816836,0.165623,0.481889
-130.204285,13.0,0,9,2,7,2.128205128205128,166.0,3.854471,0.048643,0.636355
-130.124069,13.0,0,9,2,7,2.128205128205128,166.0,3.638439,0.048849,0.636355
-130.108139,13.0,0,9,2,7,2.128205128205128,166.0,4.172241,0.047905,0.636355
-130.082031,13.0,0,9,2,7,2.128205128205128,166.0,3.237881,0.058391,0.636355
-130.01944,13.0,0,9,2,7,2.128205128205128,166.0,3.680707,0.048169,0.636355
-129.804428,13.0,0,8,3,6,2.1025641025641026,164.0,3.575456,0.171194,0.481889
-129.790497,13.0,0,9,2,7,2.141025641025641,167.0,4.285137,0.007758,0.0
-129.726685,13.0,0,9,2,7,2.128205128205128,166.0,3.95516,0.059925,0.636355
-129.726608,13.0,0,9,2,7,2.141025641025641,167.0,3.630722,0.007584,0.0
-129.706802,13.0,0,8,3,6,2.1025641025641026,164.0,3.530432,0.168689,0.481889
-129.640518,13.0,0,9,2,7,2.141025641025641,167.0,3.169358,0.008438,0.0
-129.631195,13.0,0,9,2,7,2.128205128205128,166.0,4.145172,0.051118,0.636355
-129.588226,13.0,0,9,2,7,2.128205128205128,166.0,3.711802,0.051307,0.636355
-129.587479,13.0,0,9,2,7,2.141025641025641,167.0,4.088354,0.008154,0.0
-129.55983,13.0,0,9,2,7,2.128205128205128,166.0,3.813974,0.13418,0.636355
-129.557434,13.0,0,9,2,7,2.128205128205128,166.0,3.825762,0.135996,0.636355
-129.549561,13.0,0,9,2,7,2.128205128205128,166.0,4.19482,0.334942,0.636355
-129.54245,13.0,0,9,2,7,2.128205128205128,166.0,3.327201,0.119896,0.636355
-142.923737,14.0,0,10,2,4,2.208791208791209,201.0,0.0,0.0,0.0
-142.840942,14.0,0,10,2,4,2.208791208791209,201.0,3.81416,0.000227,0.0
-142.588196,14.0,0,10,2,4,2.208791208791209,201.0,4.189277,0.00136,0.0
-142.555344,14.0,0,10,2,4,2.208791208791209,201.0,3.941762,0.00343,0.0
-142.495667,14.0,0,10,2,4,2.208791208791209,201.0,4.057394,0.005065,0.0
-142.476944,14.0,0,10,2,4,2.208791208791209,201.0,3.74613,0.005039,0.0
-142.465775,14.0,0,10,2,4,2.208791208791209,201.0,3.508862,0.001138,0.0
-142.395248,14.0,0,10,2,4,2.208791208791209,201.0,4.018384,0.005888,0.0
-142.365097,14.0,0,10,2,4,2.208791208791209,201.0,3.824252,0.006263,0.0
-142.311386,14.0,0,10,2,4,2.208791208791209,201.0,3.777157,0.006535,0.0
-142.281586,14.0,0,10,2,4,2.208791208791209,201.0,3.85137,0.012658,0.0
-142.209747,14.0,0,10,2,4,2.208791208791209,201.0,3.903662,0.220726,0.0
-142.170532,14.0,0,10,2,4,2.208791208791209,201.0,4.105261,0.004371,0.0
-142.140594,14.0,0,10,2,4,2.208791208791209,201.0,3.887244,0.220044,0.0
-142.133087,14.0,0,10,2,4,2.208791208791209,201.0,3.930865,0.004337,0.0
-141.948013,14.0,0,10,2,4,2.208791208791209,201.0,3.630588,0.014086,0.0
-141.942337,14.0,0,10,2,4,2.208791208791209,201.0,3.64725,0.00167,0.0
-154.083664,15.0,0,10,3,0,2.238095238095238,235.0,0.0,0.0,0.0
-154.037354,15.0,0,10,3,0,2.238095238095238,235.0,4.121742,0.000219,0.0
-154.006912,15.0,0,10,3,0,2.238095238095238,235.0,3.833127,0.000248,0.0
-153.95166,15.0,0,10,3,0,2.238095238095238,235.0,3.790106,0.000225,0.0
-153.323318,15.0,0,8,4,3,2.2857142857142856,240.0,3.926907,2.445066,2.223285
-153.277145,15.0,0,8,4,3,2.2857142857142856,240.0,3.952289,2.437295,2.223285
-167.249741,16.0,0,16,0,12,2.4,288.0,0.0,0.0,0.0
-167.179718,16.0,0,16,0,12,2.4,288.0,4.431159,0.000176,0.0
-167.109344,16.0,0,16,0,12,2.4,288.0,4.869174,0.000232,0.0
-167.06958,16.0,0,16,0,12,2.4,288.0,4.600487,0.000297,0.0
-166.99939,16.0,0,16,0,12,2.4,288.0,4.346255,8.1e-05,0.0
-166.930847,16.0,0,16,0,12,2.4,288.0,0.780547,0.000387,0.0
-166.328613,16.0,0,9,4,0,2.3666666666666667,284.0,4.135166,6.237364,2.517421
-178.60228,17.0,0,6,10,12,2.2941176470588234,312.0,0.0,0.0,0.0
-178.292267,17.0,0,5,14,7,2.2426470588235294,305.0,3.852785,0.12146,0.612381
-178.116394,17.0,0,4,16,8,2.2205882352941178,302.0,4.257879,0.291369,1.098345
-178.085632,17.0,0,4,16,8,2.2205882352941178,302.0,3.870107,0.269581,1.098345
-178.06311,17.0,0,5,14,7,2.2426470588235294,305.0,4.157661,0.120212,0.612381
-178.037674,17.0,0,6,9,10,2.2794117647058822,310.0,4.241907,0.222344,1.01615
-178.031296,17.0,0,5,14,7,2.2426470588235294,305.0,4.057604,0.137431,0.612381
-178.018768,17.0,0,4,16,8,2.2205882352941178,302.0,4.10193,0.302259,1.098345
-178.00528,17.0,0,12,4,9,2.3529411764705883,320.0,4.061331,2.723265,0.921198
-177.995361,17.0,0,4,16,8,2.2205882352941178,302.0,3.980313,0.301017,1.098345
-177.96727,17.0,0,5,12,11,2.2573529411764706,307.0,4.065425,0.092345,0.341689
-177.947144,17.0,0,6,9,10,2.2794117647058822,310.0,4.280265,0.234261,1.01615
-177.894974,17.0,0,5,14,7,2.2426470588235294,305.0,3.992848,0.120657,0.612381
-177.871948,17.0,0,5,13,8,2.2426470588235294,305.0,4.177069,0.148926,0.962051
-177.865555,17.0,0,4,16,8,2.2205882352941178,302.0,3.850396,0.297229,1.098345
-177.826797,17.0,0,5,14,7,2.2426470588235294,305.0,4.036506,0.139201,0.612381
-177.820206,17.0,0,6,10,12,2.2941176470588234,312.0,4.389465,0.006545,0.0
-177.816269,17.0,0,5,12,11,2.2573529411764706,307.0,4.221061,0.106585,0.341689
-177.807663,17.0,0,5,14,7,2.2426470588235294,305.0,3.898977,0.146087,0.612381
-177.781525,17.0,0,6,10,12,2.2941176470588234,312.0,4.188432,0.002805,0.0
-177.778656,17.0,0,4,16,8,2.2205882352941178,302.0,4.18886,0.296458,1.098345
-177.762512,17.0,0,5,13,8,2.2426470588235294,305.0,4.284829,0.137016,0.962051
-177.741318,17.0,0,5,14,7,2.2426470588235294,305.0,4.016748,0.137953,0.612381
-177.74057,17.0,0,6,9,10,2.2794117647058822,310.0,3.86959,0.211781,1.01615
-177.724426,17.0,0,4,15,9,2.2205882352941178,302.0,3.782957,0.189196,1.232239
-177.713257,17.0,0,4,16,8,2.2205882352941178,302.0,4.065102,0.298043,1.098345
-177.689423,17.0,0,6,10,12,2.2941176470588234,312.0,4.064772,0.007365,0.0
-177.686523,17.0,0,5,14,7,2.2426470588235294,305.0,4.18157,0.148468,0.612381
-177.677567,17.0,0,5,12,11,2.2573529411764706,307.0,4.078406,0.102196,0.341689
-177.671265,17.0,0,14,2,11,2.4779411764705883,337.0,4.346938,2.413004,1.609004
-177.666229,17.0,0,4,16,8,2.2205882352941178,302.0,3.829672,0.299804,1.098345
-177.636444,17.0,0,5,14,7,2.2426470588235294,305.0,4.636278,0.122708,0.612381
-177.63562,17.0,0,4,16,8,2.2205882352941178,302.0,4.330255,0.150005,1.098345
-177.604904,17.0,0,5,13,8,2.2426470588235294,305.0,3.947635,0.093494,0.660942
-190.640274,18.0,0,13,4,4,2.411764705882353,369.0,0.0,0.0,0.0
-190.585419,18.0,0,15,2,8,2.5163398692810457,385.0,4.729401,0.163144,1.514285
-190.571732,18.0,0,15,2,8,2.5163398692810457,385.0,4.680012,0.164305,1.514285
-190.530533,18.0,0,13,4,4,2.411764705882353,369.0,1.087066,0.002279,0.0
-190.318466,18.0,0,15,2,8,2.5163398692810457,385.0,4.309166,0.137364,1.514285
-190.276215,18.0,0,13,4,4,2.411764705882353,369.0,3.101515,0.068946,0.0
-190.24678,18.0,0,6,15,8,2.3006535947712417,352.0,3.845029,4.819938,1.907557
-190.211563,18.0,0,13,4,4,2.411764705882353,369.0,0.959926,0.010177,0.0
-190.194244,18.0,0,6,14,9,2.2941176470588234,351.0,3.948442,4.004286,1.985207
-190.117554,18.0,0,6,13,12,2.30718954248366,353.0,4.177127,3.88946,1.536946
-189.9935,18.0,0,6,15,8,2.3006535947712417,352.0,4.287948,4.744233,1.907557
-189.96904,18.0,0,6,15,8,2.3006535947712417,352.0,4.182162,4.753212,1.907557
-189.962082,18.0,0,5,15,10,2.287581699346405,350.0,4.307418,2.066865,2.414295
-189.949448,18.0,0,6,13,10,2.3006535947712417,352.0,4.053194,3.912648,1.265998
-189.770508,18.0,0,13,4,4,2.411764705882353,369.0,4.300859,0.000646,0.0
-189.742828,18.0,0,13,4,4,2.411764705882353,369.0,4.370048,0.000996,0.0
-189.731659,18.0,0,6,14,9,2.2941176470588234,351.0,4.229601,4.010172,1.985207
-189.70459,18.0,0,6,13,10,2.3006535947712417,352.0,4.403694,3.882666,1.265998
-189.677155,18.0,0,10,8,8,2.3790849673202614,364.0,4.789492,1.962188,1.169662
-189.671463,18.0,0,6,15,8,2.3006535947712417,352.0,4.349581,4.805005,1.907557
-189.655716,18.0,0,6,15,8,2.3006535947712417,352.0,4.283773,4.718802,1.907557
-189.655609,18.0,0,6,15,8,2.3006535947712417,352.0,3.497854,4.807315,1.907557
-189.643082,18.0,0,6,14,9,2.2941176470588234,351.0,4.431358,3.935234,1.985207
-203.295593,19.0,0,2,17,11,2.3391812865497075,400.0,0.0,0.0,0.0
-203.169266,19.0,0,2,17,11,2.3391812865497075,400.0,4.495992,0.00456,0.0
-203.083725,19.0,0,2,17,11,2.3391812865497075,400.0,4.251443,0.001528,0.0
-203.031097,19.0,0,3,16,9,2.3684210526315788,405.0,4.358976,0.020618,0.087569
-203.025803,19.0,0,2,17,11,2.3391812865497075,400.0,4.302597,0.004259,0.0
-202.979782,19.0,0,3,16,9,2.3684210526315788,405.0,4.115241,0.02261,0.087569
-202.91568,19.0,0,3,16,9,2.3684210526315788,405.0,4.7528,0.023416,0.087569
-202.907806,19.0,0,3,16,9,2.3684210526315788,405.0,4.407983,0.019957,0.087569
-202.871216,19.0,0,3,16,9,2.3684210526315788,405.0,4.54426,0.020829,0.087569
-202.851349,19.0,0,2,17,11,2.3391812865497075,400.0,4.258116,0.05411,0.0
-202.835297,19.0,0,2,17,11,2.3391812865497075,400.0,3.933599,0.009834,0.0
-202.780823,19.0,0,4,15,8,2.391812865497076,409.0,4.590498,0.21524,0.50337
-202.771591,19.0,0,2,17,11,2.3391812865497075,400.0,4.312018,0.007863,0.0
-202.769958,19.0,0,2,17,11,2.3391812865497075,400.0,4.227154,0.008226,0.0
-202.761063,19.0,0,5,19,12,2.3216374269005846,397.0,4.430179,0.92752,0.970292
-202.760193,19.0,0,2,17,11,2.3391812865497075,400.0,4.544407,0.006011,0.0
-202.752991,19.0,0,4,12,12,2.3976608187134505,410.0,3.787982,0.072797,0.491243
-202.743637,19.0,0,2,17,11,2.3391812865497075,400.0,3.677891,0.003097,0.0
-202.735382,19.0,0,3,16,9,2.3684210526315788,405.0,4.563396,0.021972,0.087569
-202.721329,19.0,0,4,14,7,2.3859649122807016,408.0,4.366356,0.082889,0.431389
-202.709808,19.0,0,4,13,10,2.3859649122807016,408.0,4.312536,0.068691,0.309386
-202.699722,19.0,0,2,17,11,2.3391812865497075,400.0,4.27348,0.009235,0.0
-202.689606,19.0,0,3,14,12,2.3625730994152048,404.0,4.270318,0.053759,0.452556
-202.688446,19.0,0,2,17,11,2.3391812865497075,400.0,4.151712,0.013403,0.0
-202.656799,19.0,0,2,17,11,2.3391812865497075,400.0,4.172172,0.011293,0.0
